"","REF_AREA","INDICATOR","SEX","SERIES_NAME","SERIES_YEAR","TIME_PERIOD","OBS_VALUE","OBS_STATUS","UNIT_MEASURE","SERIES_CATEGORY","SERIES_TYPE","STD_ERR","REF_DATE","AGE_GROUP_OF_WOMEN","TIME_SINCE_FIRST_BIRTH","INTERVAL","SERIES_METHOD","LOWER_BOUND","UPPER_BOUND","MODEL"
"1","Rwanda","Under-five mortality rate","Total","UN IGME estimate 2019","2019","1956-06",246.085237123758,"Normal value","Deaths per 1000 live births","","",NA,1956.5,"","",1,"",194.692566966358,312.46259546722,"B3"
"2","Rwanda","Under-five mortality rate","Total","UN IGME estimate 2019","2019","1957-06",239.151856242018,"Normal value","Deaths per 1000 live births","","",NA,1957.5,"","",1,"",200.177276818709,287.238254566516,"B3"
"3","Rwanda","Under-five mortality rate","Total","UN IGME estimate 2019","2019","1958-06",232.025475053059,"Normal value","Deaths per 1000 live births","","",NA,1958.5,"","",1,"",201.650820541534,269.063834260701,"B3"
"4","Rwanda","Under-five mortality rate","Total","UN IGME estimate 2019","2019","1959-06",225.825577550315,"Normal value","Deaths per 1000 live births","","",NA,1959.5,"","",1,"",199.901310938225,256.385883139243,"B3"
"5","Rwanda","Under-five mortality rate","Total","UN IGME estimate 2019","2019","1960-06",220.229565460005,"Normal value","Deaths per 1000 live births","","",NA,1960.5,"","",1,"",196.341157584874,247.907695617575,"B3"
"6","Rwanda","Under-five mortality rate","Total","UN IGME estimate 2019","2019","1961-06",215.867239807405,"Normal value","Deaths per 1000 live births","","",NA,1961.5,"","",1,"",193.308233221359,241.872925617428,"B3"
"7","Rwanda","Under-five mortality rate","Total","UN IGME estimate 2019","2019","1962-06",212.495108563165,"Normal value","Deaths per 1000 live births","","",NA,1962.5,"","",1,"",191.117419979228,237.070172364793,"B3"
"8","Rwanda","Under-five mortality rate","Total","UN IGME estimate 2019","2019","1963-06",210.45741954073,"Normal value","Deaths per 1000 live births","","",NA,1963.5,"","",1,"",190.057067406127,233.392309133957,"B3"
"9","Rwanda","Under-five mortality rate","Total","UN IGME estimate 2019","2019","1964-06",209.627985239735,"Normal value","Deaths per 1000 live births","","",NA,1964.5,"","",1,"",190.396064435284,230.753785921872,"B3"
"10","Rwanda","Under-five mortality rate","Total","UN IGME estimate 2019","2019","1965-06",209.790198476456,"Normal value","Deaths per 1000 live births","","",NA,1965.5,"","",1,"",191.414733144249,229.934305305178,"B3"
"11","Rwanda","Under-five mortality rate","Total","UN IGME estimate 2019","2019","1966-06",210.713375003128,"Normal value","Deaths per 1000 live births","","",NA,1966.5,"","",1,"",193.298519066908,229.84737369959,"B3"
